(Parent) ASIN;(Child) ASIN;Title;Sessions - Total;Session Percentage - Total;Page Views - Total;Page Views Percentage - Total;Featured Offer (Buy Box) Percentage;Units Ordered;Units Ordered - B2B;Unit Session Percentage;Unit Session Percentage - B2B;Ordered Product Sales;Ordered Product Sales - B2B;Total Order Items;Total Order Items - B2B
B08VKQJ9PJ;B08RGRVXHD;Replacement US Non-Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;15;0.57%;23;0.62%;100.00%;1;0;6.67%;0.00%;$40.99;$0.00;1;0
B08VKQJ9PJ;B08RGXV8TB;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;1;0.04%;1;0.03%;100.00%;1;0;100.00%;0.00%;$54.99;$0.00;1;0
B08VKQJ9PJ;B08RHG8QVB;Replacement UK Backlit Keyboard for Lenovo Thinkpad X280 X390 X395;1;0.04%;1;0.03%;100.00%;1;0;100.00%;0.00%;$54.99;$0.00;1;0
B08VYRFN2S;B08VZ4GLGR;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad P50 P70;5;0.19%;8;0.21%;87.50%;1;0;20.00%;0.00%;$75.99;$0.00;1;0
B07FC1N7C8;B07FC1N7C8;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07FM69Z3M;Replacement French Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07FM9SVC7;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVYCFJL;B07FMD9RZK;Replacement German Backlit Keyboard for Lenovo Thinkpad T430 T430i T430s T430si T430U T530 T530i T530S W530 X13X X230 X230i X230it X230T;6;0.23%;9;0.24%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07G6NP3CM;Replacement German Backlit Keyboard for Lenovo Thinkpad T460s T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07G6PPD6F;Replacement UK Backlit Keyboard for Lenovo Thinkpad T470 T480;6;0.23%;7;0.19%;85.71%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07G6QSXVY;Replacement French Backlit Keyboard for Lenovo Thinkpad T470s;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08K9GD18K;B07G6R9V9Q;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T460s T470s;27;1.03%;34;0.91%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07G6RLNDP;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad T470s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07G6RNG11;Replacement Scandinavian – Nordic Backlit Keyboard for Lenovo Thinkpad T470 T480;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VQFLB7S;B07G6RV69F;Replacement Italian Backlit Keyboard for Lenovo Thinkpad T470 T480;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08VHFV3YR;B07G6RVNSV;Replacement German Backlit Keyboard for Lenovo Thinkpad T470s;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNJL9DM;Replacement French Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNMFZVP;Replacement Norwegian Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;2;0.08%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNMKFQJ;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNN71CT;Replacement US International Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;17;0.65%;19;0.51%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNP5FYB;Replacement Portuguese Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;2;0.08%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08TVTKDDH;B07GNR79QV;Replacement Swiss Backlit Keyboard for Lenovo Thinkpad X230s X240 X240S X240I X250 X260 X270;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPC7D7W;Replacement German Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPDH9RQ;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPGNMYR;Replacement Czech Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPNNK6C;Replacement Dutch Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPP2N9C;Replacement Spanish Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;6;0.23%;6;0.16%;83.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPSR65R;Replacement Bulgarian Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;2;0.08%;2;0.05%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPTL7Z7;Replacement Danish Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPV9MLS;Replacement Czech Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 T460P L450 T440E;4;0.15%;4;0.11%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPW33Q2;Replacement Swiss Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;2;0.08%;3;0.08%;33.33%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPWTRYQ;Replacement Polish Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;1;0.04%;1;0.03%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DP43NRH;B07GPYHLJK;Replacement Swedish – Finnish Backlit Keyboard for Lenovo Thinkpad T431 T431S E431 T440 T440P T440S E440 L440 T450 T450S T460 L450 T440E;3;0.11%;3;0.08%;66.67%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
B08DRRL8RD;B07GPZ8NNX;Replacement Belgian Backlit Keyboard for Lenovo Thinkpad E531 T540 T540P T550 L540 W540 W550S W550 W541;4;0.15%;5;0.13%;100.00%;0;0;0.00%;0.00%;$0.00;$0.00;0;0
